Key Concept,Distractors
Paired t-test,"Independent Samples, Dependent Samples"
Statistical Control Charts,"Statistical Process Control, Process Quality"
Lot Acceptance Sampling Plan,"Quality Assurance, Production Inspection"
OC Curve,"Probability Distribution, Quality Evaluation"
Control Charts,"Process Monitoring, Quality Management"
Variable Control Chart,"Quality Characteristic, Standard Deviation"
Attributes Control Charts,"Defect Classification, Quality Inspection"
C Chart,"Defect Count, Nonconformity Classification"
P Chart,"Defect Proportion, Quality Percentage"
U Chart,"Defects per Unit, Product Standardization"
Descriptive Statistics,"Inferential Statistics, Exploratory Data Analysis, Data Visualization"
R Software,"Python, MATLAB, SAS"
Observation Vector,"Data Frame, Matrix, List"
Arithmetic Mean,"Median, Mode, Standard Deviation"
Mode,"Median, Mean, Frequency"
Median,"Mean, Mode, Quartile"
Normal Distribution,"Binomial Distribution, Poisson Distribution, Exponential Distribution"
Density Function,"Cumulative Probability, Inverse Function, Random Number Generation"
Cumulative Probability,"Density Function, Inverse Function, Random Number Generation"
Inverse Function,"Density Function, Cumulative Probability, Random Number Generation"
Random Number Generation,"Density Function, Cumulative Probability, Inverse Function"
Binomial Distribution,"Normal Distribution, Poisson Distribution, Exponential Distribution"
Probability,"Cumulative Probability, Inverse Function, Random Number Generation"
Cumulative Probability,"Probability, Inverse Function, Random Number Generation"
Inverse Function,"Probability, Cumulative Probability, Random Number Generation"
Random Number Generation,"Probability, Cumulative Probability, Inverse Function"
Frequency Distribution,"Data Distribution, Histogram, Data Analysis"
Table Function,"Histogram, Data Analysis, Data Visualization"
Data Import,"Data Export, Data Preprocessing, Data Manipulation"
Data Export,"Data Import, Data Preprocessing, Data Manipulation"
Excel Format,"CSV Format, Text Format, JSON Format"
read.xls Function,"read.csv Function, read.table Function, read.xlsx Function"
write.table Function,"write.csv Function, write.xlsx Function, write.json Function"
write.xlsx Function,"write.csv Function, write.table Function, write.json Function"
Large Sample Theory,"Small Sample Theory, Sample Distribution"
Normal Test,"Hypothesis Testing, Statistical Inference"
Exact Sample Tests,"Gosset, Fisher, Hypothesis Testing"
Student's t-Distribution,"Degrees of Freedom, Statistical Distribution"
Probability Density Function,"Symmetric Distribution, Normal Curve"
Critical Values,"Significance Level, Two-Tailed Test"
Application,"Statistical Analysis, Data Interpretation"
Test of Hypothesis,"Null Hypothesis, Alternative Hypothesis"
Confidence Interval,"Estimation, Population Mean"
t-Test,"Difference of Means, Paired t-Test"
Degrees of Freedom,"Independent Observations, Chi-Square"
F-Distribution,"Variance Equality, Snedecor's F-test"
Probability Distribution,"Continuous Distribution, Normal Distribution, Binomial Distribution"
Random Variable,"Discrete Random Variable, Continuous Variable, Dependent Variable"
Chi-square Distribution,"Normal Distribution, Poisson Distribution, Exponential Distribution"
Degrees of Freedom,"Variance, Standard Deviation, Central Limit Theorem"
Test Statistic,"Hypothesis Testing, Confidence Interval, Significance Level"
Goodness of Fit,"Karl Pearson, Statistical Inference, Null Hypothesis"
Contingency Table,"Independence Test, Chi-square Test, Categorical Data"
Psychotherapy Effectiveness,"Patient Outcomes, Medical Treatment, Clinical Trials"
Significance Level,"Confidence Level, Type I Error, Alpha Level"
Observations,"Data Collection, Sample Size, Population Study"
Yate's Correction,"Bonferroni Correction, Holm's Correction, Sidak Correction"
Chi-square,"ANOVA, T-test, Mann-Whitney U test"
Contingency Table,"Scatter plot, Histogram, Box plot"
Test Statistic,"Z-score, F-statistic, P-value"
Coefficient of Contingency,"Pearson Correlation Coefficient, Spearman's Rank Correlation"
Correlation of Attributes,"Covariance, Regression Coefficient, Correlation Matrix"
Additive Property of Chi-square Variate,"Central Limit Theorem, Law of Large Numbers, Bayes' Theorem"
Curve fitting,"Data analysis, Regression analysis, Mathematical modeling"
Relationship,"Correlation, Association, Connection"
Variables,"Factors, Parameters, Elements"
Equation,"Formula, Expression, Mathematical statement"
Scatter diagram,"Plot, Graph, Chart"
Linear relationship,"Straight line, Proportional relationship, Direct correlation"
Non-linear relationship,"Curved line, Indirect correlation, Complex relationship"
Approximating curve,"Fitted curve, Interpolating curve, Trend line"
Straight line,"Linear function, Simple regression line, Trend line"
Least square method,"Minimization technique, Optimization method, Statistical approach"
Parabola,"Quadratic curve, U-shaped curve, Symmetrical curve"
Power curve,"Exponential function, Growth curve, Increasing trend"
Regression,"Estimation, Prediction, Forecasting"
Trend line,"Trend curve, Moving average, Smoothing line"
Time series,"Temporal data, Sequential data, Historical records"
Multiple regression,"Multivariate analysis, Complex modeling, Advanced statistics"
Correlation,"Covariance, Regression, Correlation coefficient"
Scatter Diagram,"Histogram, Line graph, Box plot"
Coefficient of Correlation,"Pearson correlation, Spearman correlation, Regression coefficient"
Perfect Positive Correlation,"Perfect negative correlation, No correlation, Positive correlation"
Regression Lines,"Least square method, Coefficient of determination, Explained variation"
Standard Error of Estimate,"Residuals, Coefficient of determination, Unexplained variation"
Coefficient of Determination,"Coefficient of correlation, Explained variation, Total variation"
Coefficient of Correlation (r),"Pearson correlation, Spearman correlation, Regression coefficient"
Java,"Python, C++, JavaScript"
Programming Language,"Ruby, Swift, PHP"
Object-oriented,"Functional, Procedural, Imperative"
Standalone Applications,"Desktop, Console, Offline"
Web Applications,"Frontend, Backend, Server"
Enterprise Applications,"Business, Corporate, Organization"
Mobile Applications,"Android, iOS, Smartphone"
Runtime Environment,"Environment Variables, Operating System, Runtime Library"
Java API,"Standard Library, Application Programming Interface"
Simple,"Easy, Basic, Straightforward"
Object,"Instance, Entity, Item"
Inheritance,"Subclassing, Extending, Parental"
Polymorphism,"Overloading, Overriding, Variadic"
Abstraction,"Interface, Abstract Class, Modularity"
Encapsulation,"Data Hiding, Information Hiding, Wrapping"
Robust,"Strong, Resilient, Sturdy"
Memory Management,"Garbage Collection, Allocation, Deallocation"
Platform Independent,"Cross-platform, Universal, OS-agnostic"
Secured,"Protected, Safe, Encrypted"
Architecture-Neutral,"Cross-architecture, Universal, System-independent"
Portable,"Cross-platform, Mobile, Transferable"
High-Performance,"Efficient, Speedy, Optimized"
Distributed,"Networked, Spread-out, Dispersed"
Multi-Threaded,"Concurrent, Parallel, Threaded"
Dynamic,"Flexible, Adaptable, Agile"
History,"Origins, Background, Evolution"
JVM,"Runtime Environment, Interpreter, Virtual Machine"
JRE,"Development Environment, Runtime Library, SDK"
JDK,"Compiler, Debugger, Toolkit"
Compilation,"Translation, Conversion, Transformation"
Interpretation,"Execution, Processing, Rendering"
Byte Code,"Intermediate Code, Portable Code, Executable"
Machine Code,"Native Code, Binary Code, Executable Code"
Class Loader,"Loading Mechanism, Dependency Resolution, Loader"
Method Area,"Metadata Storage, Class Information, Runtime Pool"
Heap,"Memory Allocation, Dynamic Memory, Object Storage"
Stack,"Function Call Stack, Execution Context, Local Variables"
Program Counter,"Instruction Pointer, Execution Pointer, CPU Register"
Native Method Stack,"Non-Java Methods, External Methods, Native Functions"
Execution Engine,"Code Executor, Bytecode Interpreter, Compiler"
Interpreter,"Bytecode Processor, Language Executor, Runtime Interpreter"
JIT Compiler,"Just-In-Time Compilation, Optimizing Compiler, Dynamic Compiler"
Garbage Collector,"Memory Reclaimer, Deallocator, Resource Manager"
JNI,"Native Integration, Cross-language Communication, Interface"
Native Libraries,"External Modules, System Libraries, Shared Libraries"
Java API,"C++ API, Python API, JavaScript API"
Java SE,"Java EE, Java ME, JavaFX"
Java EE,"Java SE, Java ME, JavaScript"
Lambda Expressions,"Anonymous functions, Closures, Functional programming"
Method References,"Anonymous functions, Static methods, Instance methods"
Type Annotations,"Comments, Metadata, Programming annotations"
Marker Annotation,"Single Value Annotation, Multi Value Annotation"
Single Value Annotation,"Marker Annotation, Multi Value Annotation"
Multi Value Annotation,"Marker Annotation, Single Value Annotation"
Predefined Annotations,"Custom Annotations, Compiler Annotations, Code Annotations"
@SuppressWarnings,"@Override, @SafeVarargs, @FunctionalInterface"
@SafeVarargs,"@SuppressWarnings, @FunctionalInterface, @Override"
@FunctionalInterface,"Anonymous functions, Functional programming, Method references"
@Override,"@SuppressWarnings, @SafeVarargs, @FunctionalInterface"
@Documented,"@Retention, @Target, @Inherited"
@Target,"@Retention, @Documented, @Inherited"
@Inherited,"@Retention, @Documented, @Target"
@Repeatable,"@Retention, @Documented, @Inherited"
Method Parameter,"Method Reflection, Java Compiler"
Reflection,"Java Programs, Java Class File"
Formal Parameter,"Path Environment Variable, Java Interpreter"
Java.lang.reflect,"Java Compiler, Java Programs"
Method Class,"Java Interpreter, Java Class File"
Return Type,Setting the Path Environment Variable
Parameter Types,"Java Compiler, Java Programs"
Compilation,"Method Parameter Reflection, Reflection"
Command Prompt,"Java.lang.reflect, Method Class"
JVM,"Java Compiler, Java Programs"
Bytecode,"Path Environment Variable, Compilation"
Execution,"Reflection, Java Class File"
Class File,"Method Reflection, Method Class"
Source Code,"Setting the Path Environment Variable, Bytecode"
Main Method,"Java Compiler, JVM"
Static,"Java Programs, Bytecode"
Command Line Argument,"Java Interpreter, Compilation"
System.out.print(),"Reflection, Java Class File"
Command Prompt,"JVM, Bytecode"
Output,"Method Reflection, Java Compiler"
Java applications,"Mobile Application, Web Application, Enterprise Application, Standalone Application"
Standalone Application,"Web Application, Enterprise Application, Mobile Application, Office Suite"
Web Application,"Standalone Application, Enterprise Application, Mobile Application, Servlet"
Enterprise Application,"Web Application, Standalone Application, Mobile Application, Hibernate Framework"
Mobile Application,"Web Application, Enterprise Application, Standalone Application, Smartphones"
Whitespace,"Case Sensitivity, Identifiers, Keywords, Braces and Code Block"
Case Sensitivity,"Whitespace, Identifiers, Keywords, Braces and Code Block"
Identifiers,"Keywords, Whitespace, Case Sensitivity, Braces and Code Block"
Keywords,"Identifiers, Braces and Code Block, Case Sensitivity, Whitespace"
Comments,"Braces and Code Block, Identifiers, Keywords, Variables and Variable Name"
Braces and Code Block,"Comments, Keywords, Identifiers, Variables and Variable Name"
Variables and Variable Name,"Comments, Braces and Code Block, Identifiers, Keywords"
Data types,"Variable types, Data structures, Primitive types"
Operator,"Arithmetic operators, Logical operators, Bitwise operators"
Primitive data types,"Integer, Floating-point, Character, Boolean"
byte,"short, int, long, float, double, char, boolean"
short,"byte, int, long, float, double, char, boolean"
int,"byte, short, long, float, double, char, boolean"
long,"byte, short, int, float, double, char, boolean"
float,"byte, short, int, long, double, char, boolean"
double,"byte, short, int, long, float, char, boolean"
char,"byte, short, int, long, float, double, boolean"
boolean,"byte, short, int, long, float, double, char"
Object reference types,"Class, Annotation, Array, Enumeration, Interface"
String,"StringBuilder, StringBuffer, Array, Collection"
String Literal,"String object, Primitive data types, Variable types"
new keyword,"Constructor, Memory allocation, Object creation"
String methods,"Array methods, Integer methods, Collection methods"
toUpperCase(),"toLowerCase(), startWith(), endsWith()"
toLowerCase(),"toUpperCase(), startWith(), endsWith()"
startWith(),"toUpperCase(), toLowerCase(), endsWith()"
endsWith(),"toUpperCase(), toLowerCase(), startWith()"
charAt(),"indexOf(), length(), substring()"
length(),"indexOf(), charAt(), substring()"
substring(),"indexOf(), charAt(), length()"
replace(),"concat(), contains(), trim()"
contains(),"replace(), concat(), trim()"
indexOf(),"charAt(), length(), substring()"
concat(),"replace(), contains(), trim()"
trim(),"replace(), contains(), concat()"
Autoboxing,"Boxing, Wrapper class, Conversion"
Unboxing,"Wrapper object, Primitive type, Conversion"
Wrapper class,"Integer, Float, Double"
Primitive type,"byte, short, int"
Arithmetic Operators,"Addition, Subtraction, Multiplication"
Relational Operators,"Equal to, Greater than, Less than"
Logical Operators,"Logical AND, Logical OR, Logical NOT"
Bitwise Operators,"Bitwise AND, Bitwise OR, Bitwise XOR"
Assignment Operator,"Compound assignment, Simple assignment"
Increment Operator,"Prefix form, Postfix form, Operand"
Decrement Operator,"Prefix form, Postfix form, Operand"
Conditional Operator,"Ternary operator, If-then-else statement"
Java compiler,"Python interpreter, C++ compiler, Ruby interpreter"
assertions,"Conditions, declarations, variables"
control flow statements,"Data structures, algorithms, programming paradigms"
Decision Making,"Problem solving, logical reasoning, decision analysis"
if statements,"Conditional statements, programming constructs, loops"
switch statement,"Case statement, selection statements, branching"
Loop statements,"Iteration, repetition, looping constructs"
do while loop,"For loop, while loop, nested loops"
while loop,"For loop, do while loop, conditional loops"
for loop,"While loop, do while loop, nested loops"
for-each loop,"Iterating over collections, enhanced for loop, loops"
Jump statements,"Branching statements, control transfer, program flow"
break statement,"Continue statement, loop control, exit statements"
continue statement,"Break statement, loop control, iteration statements"
Decision-Making,"Logical operations, branching, conditional execution"
If Statement,"Conditional branching, decision making, true/false"
Simple if statement,"Basic conditional, single condition, boolean check"
if-else statement,"Branching logic, dual condition, alternative paths"
if-else-if ladder,"Cascading conditions, multi-branch logic, decision tree"
Nested if-statement,"Conditional nesting, hierarchical logic, nested branches"
Switch Statement,"if-else, Java, programming"
Case,"block, variable, statement"
Default,"optional, match, condition"
Break,"switch block, next case, condition"
Syntax,"expression, code, program"
Loop Statements,"execution, condition, Java"
For loop,"initialization, increment, decrement"
For-each loop,"array, collection, iteration"
While loop,"iterations, control, loop"
Do-while loop,"exit-controlled, iteration, syntax"
Jump Statements,"control, program, break"
Break statement,"current flow, nested loop, labeled"
continue,"break, loop, iterate"
statement,"code, program, function"
loop,"iteration, repetition, cycle"
iteration,"loop, repetition, cycle"
example,"instance, illustration, demonstration"
function,"method, procedure, subroutine"
Output,"result, outcome, display"
class,"object, instance, blueprint"
method,"function, procedure, subroutine"
Class,"Object, Declaration, Collection, Instance"
Object,"Instance, Class, Dot Operator, Access"
Method,"Dot Operator, Parameter, Return Type, Overloading"
Dot Operator,"Access, Variables, Methods, Object"
Main Method,"Compilation, Class, Declaration, Instance"
Instance Variable,"Variables, Initialization, Class, Method"
Parameters,"Method, Return Type, Overloading, Passing"
Return Type,"Method, Parameter, Void, Overloading"
Method Overloading,"Parameter List, Same Name, Different Parameters"
Passing Objects,"Parameters, Object, Values, Methods"
Pass by Value,"Data Type, Constant Values, Pass by Reference"
Pass by Reference,"Memory Address, Objects, Changes, Arguments"
Abstract Classes,"Declaration, Subclass, Implementation, Inheritance"
Extending the class,"Inheritance, Variables, Methods, Syntax"
Access Control,"Limiting Access, Package, Keywords, Protection"
Keywords,"Public, Protected, Private, Package"
Constructor,"Method, Object, Memory, Class"
Method,"Constructor, Object, Memory, Class"
Memory,"Constructor, Method, Object, Class"
Instance,"Constructor, Method, Object, Class"
Default Constructor,"Parameterized Constructor, Overloading, Java"
Parameterized,"Constructor, Overloading, Object, Values"
Overloading,"Constructor, Parameterized, Object, Different"
Copy Constructor,"C++, Object, Values, Constructor"
Super,"Reference, Parent Class, Instance, Variable"
Static,"Memory Management, Variable, Method, Block"
Garbage Collection,"Memory allocation, Memory management"
Java applications,"Object-oriented programming, Software development"
JVM,"Virtual machines, Runtime environments"
Memory,"Heap memory, Allocation"
Programmer,"Software engineer, Developer"
Bugs,"Software defects, Errors"
Dangling pointer,"Memory corruption, Pointer manipulation"
Double free,"Memory corruption, Memory errors"
Memory leaks,"Resource management, Memory utilization"
Young generation,"Memory hierarchy, Generational garbage collection"
Old generation,"Long-term memory, Permanent storage"
Stop-the-world,"Thread synchronization, Concurrent programming"
Threads,"Multithreading, Parallel processing"
CPU resources,"Performance optimization, Computational efficiency"
Garbage collectors,"Optimization algorithms, Memory management"
HotSpot JVM,"Java Virtual Machine, Runtime environment"
Concurrent Mark Sweep,"Garbage collection algorithms, Memory compaction"
Azul Zing,"JVM optimization, Scalability"
Inheritance,"Encapsulation, Polymorphism, Abstraction"
Java,"Python, C++, JavaScript"
OOPs,"Procedural programming, Functional programming"
Method Overriding,"Method Overloading, Constructor Overloading"
Code Reusability,"Modular programming, Code efficiency"
Class,"Object, Interface, Instance"
Sub Class,"Child Class, Derived Class, Extended Class"
Super Class,"Parent Class, Base Class"
Reusability,"Modularity, Extensibility"
Syntax,"Grammar, Structure, Semantics"
Example,"Illustration, Instance, Demonstration"
Single Inheritance,"Multilevel Inheritance, Hierarchical Inheritance"
Multilevel Inheritance,"Single Inheritance, Hierarchical Inheritance"
Hierarchical Inheritance,"Single Inheritance, Multilevel Inheritance"
Multiple Inheritance,"Hybrid Inheritance, Interface Implementation"
Compile Time Error,"Runtime Error, Syntax Error"
A,"B, C, D"
B,"A, C, D"
C,"A, B, D"
Abstract class,"Concrete class, Inheritance, Implementation"
Abstraction,"Encapsulation, Polymorphism, Modularity"
Interface,"Implementation, Contract, Multiple inheritance"
Method,"Function, Procedure, Operation"
Implementation,"Overriding, Extending, Realization"
Inheritance,"Subclassing, Superclass, Hierarchical"
Constructor,"Initialization, Object creation, Instantiation"
Extends,"Inherits, Derives, Subclasses"
Instantiation,"Object instantiation, Creation, Instance creation"
Multiple inheritance,"Diamond problem, Ambiguity, Inheritance conflicts"
Static method,"Class method, Shared method, Utility method"
Default method,"Interface method, Fallback method, Overrideable method"
Package,"Library, Container, Bundle"
Class,"Object, Method, Instance"
Interface,"Implementation, Protocol, Interface"
Compilation,"Build, Compile, Execution"
Syntax,"Grammar, Structure, Format"
Import,"Include, Load, Access"
Directory,"Folder, Path, Location"
Java,"Programming, Language, Platform"
Access,"Permission, Entry, Authorization"
Example,"Illustration, Sample, Demonstration"
Util,"Utility, Tool, Helper"
Interface,"GUI, User Interface, Interaction"
Networking,"Communication, Connection, Internet"
Input/output,"IO, Stream, File"
Subpackage,"Subdirectory, Submodule, Subclass"
Implementation,"Realization, Application, Execution"
Data,"Information, Data Structure, Dataset"
API,"Interface, Library, Framework"
Fundamental,"Basic, Essential, Core"
Array,"Linked list, Stack, Queue, Tree"
Vector,"ArrayList, LinkedList, Stack"
Enumeration,"Iteration, Iterating, Enumeration"
Operations,"Methods, Functions, Manipulations"
Java,"Python, C++, JavaScript"
Data structure,"Linked list, Tree, Graph"
Dynamic array,"Resizable array, Flex array, Variable array"
Array List,"ArrayList, LinkedList, Stack"
Memory location,"Address, Pointer, Memory Allocation"
Code Optimization,"Performance, Efficiency, Speed"
Random access,"Indexing, Direct access, Sequential access"
Size Limit,"Capacity, Maximum size, Fixed size"
Collection framework,"ArrayList, LinkedList, HashSet"
Single Dimensional,"1D Array, Linear array, Simple array"
Multidimensional,"2D Array, Matrix, Nested array"
Syntax,"Format, Structure, Grammar"
Declaration,"Define, Declare, Initialization"
Instantiation,"Creation, Initialization, Instance"
Initialization,"Setup, Assignment, Setting up values"
Traverse,"Iterate, Explore, Visit"
Property,"Attribute, Characteristic, Feature"
Multidimensional,"2D Array, Matrix, Nested array"
Index-based,"Zero-based, Indexed, Position-based"
Advantages,"Benefits, Pros, Advantages"
Disadvantages,"Drawbacks, Cons, Limitations"
Syntax,"Format, Structure, Grammar"
Object,"Instance, Entity, Element"
Constructor,"Creation method, Initialization method, Builder"
Collection,"Set, List, Map"
Legacy methods,"Outdated methods, Old methods, Obsolete methods"
Synchronized,"Thread-safe, Concurrent, Mutex"
Initial capacity,"Starting size, Initial size, Default capacity"
Increment,"Growth factor, Step size, Increase amount"
Argument,"Parameter, Input, Variable"
Insert,"Add, Put, Place"
Append,"Add to end, Attach, Extend"
Contains,"Includes, Holds, Contains"
Elements,"Components, Items, Entries"
Capacity,"Size, Space, Maximum capacity"
Clear,"Empty, Remove all, Erase"
Clone,"Copy, Duplicate, Replicate"
Enumerate,"List, Count, Number"
Ensure Capacity,"Reserve, Allocate, Ensure space"
Equals,"Comparison, Equality, Similarity"
Retain All,"Keep, Preserve, Maintain"
Sublist,"Subset, Section, Part"
Representation,"Format, Form, Presentation"
Addition,"Insertion, Adding, Inclusion"
Enumeration,"Listing, Iteration, Listing items"
Capacity,"Size, Space, Maximum capacity"
Contains,"Includes, Holds, Contains"
Enumerate,"List, Count, Number"
Elements,"Components, Items, Entries"
Enumeration,"Listing, Iteration, Listing items"
Elements,"Components, Items, Entries"
Enumeration,"Listing, Iteration, Listing items"
Contains,"Includes, Holds, Contains"
Enumeration,"Listing, Iteration, Listing items"
Components,"Parts, Segments, Units"
Vector,"ArrayList, LinkedList, Stack"
Multithreading,"Single-threaded, Multiprocessing, Concurrent execution"
Thread,"Process, Subprocess, Task"
Java,"Python, C++, Programming language"
Synchronization,"Mutual exclusion, Thread interference, Consistency issues"
Thread class,"Object class, Runnable interface, Java API"
Life cycle,"Thread states, JVM control, Execution phases"
New,"Initialization, Creation, Fresh state"
Runnable,"Ready, Waiting, Executable"
Running,"Execution, Active, Processing"
Non-Runnable,"Blocked, Waiting, Suspended"
Terminated,"Dead, Finished, Completed"
Create thread,"Instantiation, Thread creation, Object initialization"
Extend Thread class,"Inheritance, Subclassing, Class extension"
Synchronized method,"Mutual exclusion, Critical section, Locking"
Static synchronization,"Class-wide synchronization, Shared locks, Global synchronization"
Interthread communication,"Communication channels, Message passing, Signaling"
Mutual Exclusive,"Exclusive access, Critical region, Locking mechanism"
PrintTable,"DisplayTable, ShowTable, OutputTable"
MyThread1,"WorkerThread1, ThreadA, Executor1"
MyThread2,"WorkerThread2, ThreadB, Executor2"
TestSynchronization1,"TestClass1, SynchronizationTest, MainProgram1"
Exception,"Error, Problem, Issue, Challenge"
Java,"Programming, Language, Code, Software"
Handling,"Management, Control, Dealing, Resolution"
Runtime,"Execution, Operation, Processing, Performance"
Mechanism,"System, Methodology, Approach, Technique"
Compile-time,"Compilation, Build, Pre-processing, Verification"
Checked,"Verified, Confirmed, Assessed, Approved"
Unchecked,"Unverified, Unconfirmed, Unassessed, Unapproved"
Try,"Attempt, Test, Experiment, Trial"
Catch,"Capture, Seize, Apprehend, Arrest"
Finally,"Ultimately, Eventually, In the end, Lastly"
Throw,"Toss, Hurl, Fling, Pitch"
Throws,"Propagates, Sends, Transmits, Dispatches"
Difference,"Distinction, Contrast, Disparity, Variation"
Scenario,"Situation, Circumstance, Setting, Context"
Advantage,"Benefit, Merit, Value, Upside"
Example,"Illustration, Instance, Sample, Demonstration"
Syntax,"Format, Structure, Grammar, Composition"
Propagated,"Transferred, Disseminated, Spread, Communicated"
Signature,"Mark, Symbol, Sign, Autograph"
Multiple,"Several, Numerous, Many, Various"
Input,"Output, Program, Execution, Information"
Output,"Input, Program, Execution, Information"
Java,"Programming, Language, Stream, Development"
Stream,"Water, Flow, Sequence, Data"
File,"Directory, Folder, Document, Path"
Byte,"Character, Data, Stream, Buffer"
Character,"Byte, Data, Stream, String"
FileOutputStream,"FileInputStream, FileWriter, FileReader"
FileInputStream,"FileOutputStream, FileWriter, FileReader"
InputStream,"OutputStream, FileReader, FileWriter"
OutputStream,"InputStream, FileReader, FileWriter"
CharArrayReader,"BufferedReader, InputStreamReader, Scanner"
CharArrayWriter,"BufferedWriter, OutputStreamWriter, PrintWriter"
FileReader,"FileWriter, FileOutputStream, FileInputStream"
FileWriter,"FileReader, FileOutputStream, FileInputStream"
IOException,"Exception, Error, Runtime, Handling"
File handling,"Directory handling, Path handling, Stream handling, Data handling"
Event Handling,"GUI-based programs, Java programming, AWT"
Delegation Event Model,"GUI programming, Graphical User Interface, Event Model"
Event Processing,"AWT, Desktop application, Inheritance-based event model"
Event,"Event Sources, Event Listeners, Java Event classes"
ActionEvent,"ALT_MASK, CTRL_MASK, META_MASK, SHIFT_MASK"
ActionListener,"ItemEvent, KeyEvent, MouseEvent, WindowEvent"
ItemEvent,"KeyEvent, MouseEvent, AdjustmentEvent, TextEvent"
KeyEvent,"MouseEvent, ItemEvent, ActionEvent, TextEvent"
MouseEvent,"KeyEvent, ItemEvent, WindowEvent, ActionEvent"
MouseMotionListener,"MouseListener, MouseWheelListener, KeyListener"
KeyListener,"MouseListener, ItemListener, ActionListener"
MouseListener,"KeyListener, ItemListener, WindowListener"
Method Local Inner Class,"Nested Inner Class, Anonymous Inner Class, Static Nested Class"
Anonymous Inner Class,"Nested Inner Class, Method Local Inner Class, Static Nested Class"
Static Nested Class,"Nested Inner Class, Method Local Inner Class, Anonymous Inner Class"
AWT,"Swing, JavaFX, SWT"
Abstract,"Concrete, Real, Specific"
Toolkit,"Framework, Library, Platform"
GUI,"Command Line Interface (CLI), Text-based UI, TUI"
Components,"Elements, Parts, Building Blocks"
Platform-dependence,"Cross-platform, Operating System Agnostic, Universal"
Lightweight,"Minimal, Efficient, Low-resource"
Panel,"Window, Frame, Container"
Window,"Frame, Dialog, Screen"
Frame,"Window, Container, Screen"
Canvas,"Drawing Area, Surface, Board"
Inheritance,"Composition, Aggregation, Encapsulation"
Association,"Relationship, Connection, Linkage"
Label,"Text Box, Caption, Tag"
Button,"Clickable, Pressable, Command"
Text Field,"Input Box, Text Entry, TextBox"
Text Area,"Multi-line Text Box, Text Editor, TextArea"
Checkbox,"Option Box, Selector, Tick Box"
Checkbox Group,"Radio Button, Option Group, Selector Group"
Choice,"Dropdown, Selector, Menu"
List,"Scrollable List, Collection, Menu"
Scrollbars,"Scrollable Bars, Slider Bars, Scroll Indicators"
Multi-select,"Multiple Choice, Multi-option, Select Multiple"
AWT,"Swing, JavaFX"
Frame,"Window, Panel"
Button,"Checkbox, Radio button"
Label,"Textfield, Label"
Text Field,"Text Area, Input Field"
ActionEvent,"MouseEvent, KeyEvent"
ActionListener,"ItemListener, ChangeListener"
Checkbox,"Radio button, Button"
CheckboxGroup,"ButtonGroup, ComboBox"
Color,"BackgroundColor, RGB"
Canvas,"Panel, Container"
Graphics,"Drawing, Rendering"
Layouts,"UI elements, GUI, organization"
Layout Managers,"Arrangement, interface, classes"
Flow Layout,"Line, alignment, gap, positioning"
Grid Layout,"Rectangular, rows/columns, gaps"
Border Layout,"Regions, constants, gaps"
Card Layout,"Visibility, management, flipping"
FlowLayout,"LEFT, CENTER, LEADING, TRAILING, RIGHT"
GridLayout,"hgap, vgap, rows, columns"
BorderLayout,"NORTH, SOUTH, EAST, WEST, CENTER"
CardLayout,"next(), previous(), first(), last(), show()"
UI elements,"Buttons, Labels, TextFields"
Container,"Panels, Frames, Windows"
Components,"Buttons, Labels, Panels"
Alignment,"Centered, Right, Left"
Gap,"Horizontal, Vertical"
Positioning,"Relative, Adjusting"
Computer Graphics,"Web development, Artificial Intelligence, Game Theory"
Pixel,"Resolution, Megapixel, Bitmap"
Resolution,"Aspect ratio, DPI, Image quality"
Rasterization,"Rendering, Vectorization, Anti-aliasing"
Scan conversion,"Vectorization, Rendering, Interpolation"
Advantages,"Rendering speed, Realism, User interaction"
Computer Aided Design,"CAD software, Architectural drafting, Engineering design"
Computer Art,"Digital painting, Graphic design, Illustration"
Entertainment,"Animation studios, Visual effects, Virtual reality"
Education and Training,"E-learning platforms, Simulation software, Educational apps"
Presentation Graphics,"Slideshow software, Data visualization, Infographics"
Visualization,"Data analysis, Simulation software, Scientific imaging"
Image Processing,"Photo editing, Digital manipulation, Filter effects"
Graphical User Interfaces,"User experience design, Interface design, Usability testing"
Coordinate Representation,"Cartesian coordinates, Polar coordinates, 3D modeling"
Graphics Functions,"Primitives, Attributes, Transformations"
Software Standards,"Open standards, Compatibility, Cross-platform"
Input Devices,"Peripheral devices, Human-computer interaction, Ergonomics"
Active Graphics,"Interactive media, Real-time rendering, Dynamic visuals"
Passive Graphics,"Static images, Print media, Non-interactive displays"
Display Devices,"LED screens, OLED displays, Plasma screens"
Output Devices,"Printers, Speakers, Headphones"
CRT,"Vacuum tubes, Analog displays, Cathode ray tubes"
LCD,"LED screens, OLED displays, TFT screens"
Storage Tubes,"Magnetic storage, Vacuum tubes, Memory tubes"
Direct View Storage Tube,"Refresh rate, Vacuum tube technology, Electron guns"
Calligraphic Refresh,"Pen plotters, Vector graphics, Line-drawing displays"
Random Scan Systems,"Beam penetration, Shadow mask technique, Refresh rate"
Raster Scan Systems,"Refreshing process, Frame buffer, Graphics controller"
Cathode Ray Tube (CRT),"Electron beam, Phosphor coating, Deflection system"
Color CRT,"Beam-penetration technique, Shadow mask technique, Phosphor emission"
Beam-Penetration,"Shadow mask technique, CRT displays, Electron beam speed"
